a,b,c,d,f,g,h
810100127,810100260,810100102,7.13,7.11,5.74,6.66
810100206,810100149,810199467,8.43,9.149,4.6,7.393
810100146,810100196,810100148,8.1,7.14,7,7.413333333
810100152,810100089,810100116,9,6.6,2.346,5.982
810100201,810100093,810100103,8.4,9.77,7.5,8.556666667
810100226,810100241,810100254,8,8,4.4,6.8
810100138,810100154,810100236,6,8.7,8.9,7.866666667
810100256,810100186,810197496,7.2,9.14,6.7,7.68
810100173,810100118,810100216,6.8,8.6,8.66,8.02
810100134,810100111,810100190,6.4,8.2,7,7.2
810100230,810100252,810197575,6.6,10,4.464,7.021333333
810100078,810100132,810100104,9,9,6.9,8.3
810100088,810100129,810198483,7.5,9.7,2.358,6.519333333
810100140,810100119,810100269,8,8.3,8.3,8.2
810100165,810100094,811999109,9,7,0.5,5.5
810100211,810100188,810100171,9.6,6,5,6.866666667
810100213,810100187,810100177,9.5,7.5,6,7.666666667
810100144,810100231,810196659,8,8.7,10.688,9.129333333
810100253,810100223,810100239,9,3.5,6,6.166666667
810100266,810100262,810100250,7.4,6.6,8,7.333333333
810100263,810100156,810100179,7.7,7.3,7.5,7.5
810100271,810100249,810199383,10.3,5.4,5.74,7.146666667
810100272,810100084,810100574,8.2,8.3,3.9,6.8